action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id
Jump Bank Shot,Jump Shot,400,20300966,33.9583,33,86,-118.2368,0,3,0,2003-04,48,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5875
Jump Shot,Jump Shot,410,20300966,34.0243,-84,20,-118.3538,0,3,0,2003-04,0,8,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5876
Driving Dunk Shot,Dunk,439,20300966,34.0443,0,0,-118.2698,9,4,0,2003-04,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5877
Jump Shot,Jump Shot,447,20300966,33.8423,-16,202,-118.2858,9,4,0,2003-04,25,20,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5878
Jump Shot,Jump Shot,465,20300966,34.0473,-191,-3,-118.4608,7,4,0,2003-04,24,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5879
Jump Shot,Jump Shot,490,20300966,33.8253,154,219,-118.1158,5,4,0,2003-04,33,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5880
Jump Shot,Jump Shot,492,20300966,33.9603,-34,84,-118.3038,5,4,0,2003-04,1,9,,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5881
Jump Shot,Jump Shot,507,20300966,33.8753,-195,169,-118.4648,3,4,0,2003-04,47,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5882
Jump Shot,Jump Shot,514,20300966,34.0393,205,5,-118.0648,2,4,0,2003-04,57,20,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5883
Jump Shot,Jump Shot,516,20300966,33.9993,163,45,-118.1068,2,4,0,2003-04,23,16,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5884
Jump Shot,Jump Shot,521,20300966,34.0503,172,-6,-118.0978,1,4,0,2003-04,45,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5885
Driving Layup Shot,Layup,529,20300966,34.0443,0,0,-118.2698,0,4,0,2003-04,41,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5886
Jump Shot,Jump Shot,540,20300966,34.0183,-228,26,-118.4978,0,4,0,2003-04,2,22,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5887
Driving Layup Shot,Layup,550,20300966,34.0443,0,0,-118.2698,4,5,0,2003-04,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5888
Jump Shot,Jump Shot,579,20300966,33.9993,-51,45,-118.3208,0,5,0,2003-04,46,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-15,LAL vs. ORL,ORL,5889
Driving Dunk Shot,Dunk,7,20300981,34.0443,0,0,-118.2698,11,1,0,2003-04,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5890
Jump Bank Shot,Jump Shot,19,20300981,33.9983,51,46,-118.2188,9,1,0,2003-04,12,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5891
Running Jump Shot,Jump Shot,97,20300981,33.9013,-133,143,-118.4028,0,1,0,2003-04,52,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5892
Jump Shot,Jump Shot,114,20300981,34.0363,156,8,-118.1138,11,2,0,2003-04,27,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5893
Driving Dunk Shot,Dunk,123,20300981,34.0443,0,0,-118.2698,10,2,0,2003-04,26,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5894
Layup Shot,Layup,201,20300981,34.0443,0,0,-118.2698,3,2,0,2003-04,47,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5895
Running Jump Shot,Jump Shot,251,20300981,33.7913,-67,253,-118.3368,10,3,0,2003-04,26,26,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5896
Jump Shot,Jump Shot,269,20300981,34.0293,117,15,-118.1528,8,3,0,2003-04,8,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5897
Reverse Layup Shot,Layup,282,20300981,34.0443,0,0,-118.2698,6,3,0,2003-04,7,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5898
Jump Shot,Jump Shot,285,20300981,33.9953,236,49,-118.0338,5,3,0,2003-04,43,24,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5899
Jump Shot,Jump Shot,308,20300981,33.9193,10,125,-118.2598,3,3,0,2003-04,49,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5900
Jump Shot,Jump Shot,320,20300981,34.0093,138,35,-118.1318,2,3,0,2003-04,28,14,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5901
Running Jump Shot,Jump Shot,343,20300981,34.0343,-123,10,-118.3928,11,4,0,2003-04,46,12,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5902
Driving Layup Shot,Layup,362,20300981,34.0443,0,0,-118.2698,10,4,0,2003-04,3,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5903
Driving Dunk Shot,Dunk,373,20300981,34.0443,0,0,-118.2698,9,4,0,2003-04,28,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5904
Jump Bank Shot,Jump Shot,426,20300981,33.9633,-166,81,-118.4358,4,4,0,2003-04,6,18,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5905
Jump Shot,Jump Shot,461,20300981,33.7533,33,291,-118.2368,1,4,0,2003-04,10,29,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-17,LAL @ LAC,LAC,5906
Jump Shot,Jump Shot,5,20300995,34.0603,236,-16,-118.0338,11,1,0,2003-04,5,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5907
Running Jump Shot,Jump Shot,54,20300995,33.9243,105,120,-118.1648,6,1,0,2003-04,15,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5908
Jump Shot,Jump Shot,64,20300995,33.8733,-125,171,-118.3948,5,1,0,2003-04,4,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5909
Tip Shot,Tip Shot,114,20300995,34.0443,0,0,-118.2698,1,1,0,2003-04,52,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5910
Turnaround Jump Shot,Jump Shot,224,20300995,33.9373,56,107,-118.2138,3,2,0,2003-04,41,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5911
Driving Layup Shot,Layup,238,20300995,34.0443,0,0,-118.2698,2,2,0,2003-04,12,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5912
Running Jump Shot,Jump Shot,256,20300995,34.0473,146,-3,-118.1238,0,2,0,2003-04,54,14,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5913
Driving Layup Shot,Layup,286,20300995,34.0443,0,0,-118.2698,10,3,0,2003-04,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5914
Jump Shot,Jump Shot,296,20300995,33.9603,-5,84,-118.2748,8,3,0,2003-04,55,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5915
Driving Layup Shot,Layup,306,20300995,34.0443,0,0,-118.2698,7,3,0,2003-04,43,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5916
Jump Shot,Jump Shot,313,20300995,33.8523,-3,192,-118.2728,6,3,0,2003-04,44,19,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5917
Layup Shot,Layup,323,20300995,34.0443,0,0,-118.2698,4,3,0,2003-04,52,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5918
Layup Shot,Layup,368,20300995,34.0443,0,0,-118.2698,1,3,0,2003-04,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5919
Jump Shot,Jump Shot,384,20300995,33.9403,-18,104,-118.2878,0,3,0,2003-04,5,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5920
Jump Shot,Jump Shot,436,20300995,33.8553,82,189,-118.1878,7,4,0,2003-04,50,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5921
Fadeaway Jump Shot,Jump Shot,457,20300995,34.0633,166,-19,-118.1038,6,4,0,2003-04,1,16,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5922
Jump Shot,Jump Shot,461,20300995,33.9113,-126,133,-118.3958,5,4,0,2003-04,32,18,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5923
Dunk Shot,Dunk,486,20300995,34.0443,0,0,-118.2698,3,4,0,2003-04,14,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5924
Jump Shot,Jump Shot,497,20300995,33.8153,-145,229,-118.4148,1,4,0,2003-04,38,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5925
Driving Layup Shot,Layup,502,20300995,34.0443,0,0,-118.2698,1,4,0,2003-04,10,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-19,LAL vs. LAC,LAC,5926
Jump Shot,Jump Shot,10,20301012,33.8653,112,179,-118.1578,10,1,0,2003-04,43,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5927
Driving Layup Shot,Layup,12,20301012,34.0443,0,0,-118.2698,10,1,0,2003-04,39,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5928
Layup Shot,Layup,29,20301012,34.0443,0,0,-118.2698,8,1,0,2003-04,22,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5929
Jump Shot,Jump Shot,99,20301012,34.0263,-169,18,-118.4388,2,1,0,2003-04,8,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5930
Jump Shot,Jump Shot,108,20301012,34.0413,75,3,-118.1948,0,1,0,2003-04,58,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5931
Driving Layup Shot,Layup,194,20301012,34.0443,0,0,-118.2698,3,2,0,2003-04,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5932
Layup Shot,Layup,213,20301012,34.0443,0,0,-118.2698,1,2,0,2003-04,29,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5933
Driving Layup Shot,Layup,262,20301012,34.0443,0,0,-118.2698,8,3,0,2003-04,16,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5934
Reverse Layup Shot,Layup,267,20301012,34.0443,0,0,-118.2698,7,3,0,2003-04,36,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5935
Layup Shot,Layup,277,20301012,34.0443,0,0,-118.2698,6,3,0,2003-04,0,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5936
Layup Shot,Layup,280,20301012,34.0443,0,0,-118.2698,5,3,0,2003-04,38,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5937
Jump Shot,Jump Shot,391,20301012,33.8583,-11,186,-118.2808,5,4,0,2003-04,41,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5938
Jump Shot,Jump Shot,406,20301012,33.7813,-34,263,-118.3038,3,4,0,2003-04,44,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5939
Layup Shot,Layup,416,20301012,34.0443,0,0,-118.2698,2,4,0,2003-04,30,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5940
Jump Shot,Jump Shot,440,20301012,33.8523,72,192,-118.1978,0,4,0,2003-04,3,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5941
Jump Shot,Jump Shot,462,20301012,33.8433,-90,201,-118.3598,3,5,0,2003-04,48,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5942
Jump Shot,Jump Shot,497,20301012,33.8883,-8,156,-118.2778,0,5,0,2003-04,25,15,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-21,LAL vs. MIL,MIL,5943
Jump Shot,Jump Shot,2,20301033,33.8553,-107,189,-118.3768,11,1,0,2003-04,41,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5944
Jump Shot,Jump Shot,4,20301033,33.8783,90,166,-118.1798,11,1,0,2003-04,10,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5945
Jump Shot,Jump Shot,15,20301033,34.0493,192,-5,-118.0778,9,1,0,2003-04,13,19,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5946
Driving Finger Roll Shot,Layup,21,20301033,34.0443,0,0,-118.2698,8,1,0,2003-04,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5947
Driving Layup Shot,Layup,27,20301033,34.0443,0,0,-118.2698,7,1,0,2003-04,37,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5948
Jump Shot,Jump Shot,58,20301033,33.8153,94,229,-118.1758,5,1,0,2003-04,40,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5949
Layup Shot,Layup,90,20301033,34.0443,0,0,-118.2698,2,1,0,2003-04,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5950
Jump Shot,Jump Shot,102,20301033,33.9753,16,69,-118.2538,1,1,0,2003-04,34,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5951
Jump Shot,Jump Shot,113,20301033,33.8713,118,173,-118.1518,0,1,0,2003-04,38,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5952
Fadeaway Jump Shot,Jump Shot,168,20301033,33.9803,23,64,-118.2468,6,2,0,2003-04,29,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5953
Slam Dunk Shot,Dunk,199,20301033,34.0443,0,0,-118.2698,3,2,0,2003-04,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5954
Jump Shot,Jump Shot,232,20301033,33.8353,-146,209,-118.4158,0,2,0,2003-04,11,25,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5955
Reverse Dunk Shot,Dunk,248,20301033,34.0443,0,0,-118.2698,11,3,0,2003-04,21,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5956
Jump Shot,Jump Shot,253,20301033,33.9323,-54,112,-118.3238,10,3,0,2003-04,25,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5957
Jump Bank Shot,Jump Shot,265,20301033,34.0193,-102,25,-118.3718,9,3,0,2003-04,1,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5958
Running Jump Shot,Jump Shot,284,20301033,34.0113,-67,33,-118.3368,7,3,0,2003-04,45,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5959
Layup Shot,Layup,292,20301033,34.0443,0,0,-118.2698,6,3,0,2003-04,39,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5960
Jump Shot,Jump Shot,318,20301033,34.0623,176,-18,-118.0938,4,3,0,2003-04,31,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5961
Layup Shot,Layup,369,20301033,34.0443,0,0,-118.2698,0,3,0,2003-04,23,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5962
Jump Shot,Jump Shot,372,20301033,33.8323,-169,212,-118.4388,0,3,0,2003-04,18,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5963
Jump Shot,Jump Shot,448,20301033,34.0183,233,26,-118.0368,4,4,0,2003-04,35,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5964
Jump Shot,Jump Shot,453,20301033,33.8073,92,237,-118.1778,4,4,0,2003-04,3,25,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5965
Jump Shot,Jump Shot,457,20301033,33.9753,182,69,-118.0878,3,4,0,2003-04,31,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-24,LAL vs. SAC,SAC,5966
Slam Dunk Shot,Dunk,7,20301046,34.0443,0,0,-118.2698,11,1,0,2003-04,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5967
Running Jump Shot,Jump Shot,9,20301046,33.9163,120,128,-118.1498,10,1,0,2003-04,24,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5968
Dunk Shot,Dunk,14,20301046,34.0443,0,0,-118.2698,9,1,0,2003-04,52,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5969
Jump Shot,Jump Shot,30,20301046,34.0083,-136,36,-118.4058,8,1,0,2003-04,22,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5970
Jump Shot,Jump Shot,67,20301046,33.8883,115,156,-118.1548,4,1,0,2003-04,52,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5971
Jump Shot,Jump Shot,85,20301046,33.9353,123,109,-118.1468,2,1,0,2003-04,57,16,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5972
Jump Shot,Jump Shot,119,20301046,33.8073,-125,237,-118.3948,0,1,0,2003-04,5,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5973
Jump Shot,Jump Shot,163,20301046,33.8373,16,207,-118.2538,8,2,0,2003-04,13,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5974
Reverse Layup Shot,Layup,236,20301046,34.0443,0,0,-118.2698,2,2,0,2003-04,13,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5975
Driving Layup Shot,Layup,244,20301046,34.0343,10,10,-118.2598,1,2,0,2003-04,8,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5976
Jump Shot,Jump Shot,248,20301046,33.8123,118,232,-118.1518,0,2,0,2003-04,35,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5977
Jump Shot,Jump Shot,269,20301046,33.9063,-131,138,-118.4008,11,3,0,2003-04,22,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5978
Layup Shot,Layup,293,20301046,34.0443,0,0,-118.2698,10,3,0,2003-04,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5979
Layup Shot,Layup,296,20301046,34.0443,0,0,-118.2698,9,3,0,2003-04,40,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5980
Jump Shot,Jump Shot,304,20301046,33.9863,26,58,-118.2438,8,3,0,2003-04,58,6,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5981
Layup Shot,Layup,311,20301046,34.0443,0,0,-118.2698,7,3,0,2003-04,32,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5982
Jump Shot,Jump Shot,317,20301046,33.8683,177,176,-118.0928,6,3,0,2003-04,29,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5983
Jump Shot,Jump Shot,360,20301046,33.9013,44,143,-118.2258,2,3,0,2003-04,11,14,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5984
Jump Shot,Jump Shot,363,20301046,33.8453,163,199,-118.1068,1,3,0,2003-04,50,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2004-03-26,LAL vs. MIN,MIN,5985
